,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2013-03-26,0.14905055,0.10648976,0.08279095,0.034977607,0.088903174,0.21987686,,0.2992144,0.13751656,0.09171139,0.054262526,0.09940583,,,0.2368298,0.14263806,0.08103918,0.08378662,0.10129423,0.37874308,,0.23304304,0.14477913,0.13105366,0.11062174,0.10533515,0.18069434,,0.42972535,0.10984758,0.0950629,0.1792119,0.10843454,0.12243311,0.45712635,0.39820194,0.37617484,0.31873617,0.20468408,0.14474976,0.29683495,0.18090522
13,2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2013-04-16,0.06398576,0.06371559,0.06513416,0.06786533,0.065275475,0.064591795,,0.06273669,0.06368346,0.06553736,0.06743393,0.063464254,,,0.06307639,0.064970195,0.0651458,0.06423708,0.062496062,,,0.062488362,0.06462698,0.06308445,0.06396956,0.064289056,0.063207045,,,0.06306396,0.06448818,0.06510896,0.063995406,0.061801963,,,,0.064042464,0.062662624,0.061373495,0.06020344,0.059101947
16,2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
